SerialNumber,Red,Green,Blue,Date,Label
101,1.5337,1.9415,4.2183,2016-Mar-01,PreIRCorrection
101,1.5942,2.0213,4.4173,2016-Mar-10,PostIRCorrection
102,1.4141,1.8323,3.3332,,Original
102,1.4865,1.8464,3.8986,2016-Mar-01,PreIRCorrection
102,1.5447,1.8841,4.0009,2016-Mar-09,PostIRCorrection
103,1.4038,1.7468,3.2721,,Original
103,,,,,
103,,,,,
104,2.0905,2.7689,5.2322,,Original
104,2.3068,3.0464,6.1932,2016-Apr-25,PreIRCorrection
104,2.3953,3.1201,6.5164,2016-Apr-28,PostIRCorrection
105,1.4972,1.8001,3.9634,,Original
105,1.5721,1.9473,4.0837,2016-Apr-25,PreIRCorrection
105,1.585,1.9582,4.1121,2016-Apr-28,PostIRCorrection
106,1.5183,2.0391,3.4317,,Original
106,1.4859,1.9436,3.6225,2016-Mar-01,PreIRCorrection
106,1.494,1.9141,3.7575,2016-Mar-10,PostIRCorrection
107,1.8636,2.345,4.5678,,Original
107,2.0581,2.5654,5.5557,2016-Apr-25,PreIRCorrection
107,2.1819,2.7178,5.8414,2016-Apr-28,PostIRCorrection
108,1.3788,1.781,3.3097,,Original
108,1.7848,2.2475,4.8753,2016-Apr-20,PreIRCorrection
108,1.777,2.2267,4.7822,2016-Apr-25,PostIRCorrection
109,1.9422,2.5265,4.8517,,Original
109,1.9118,2.5715,5.08,2016-Jun-07,PreIRCorrection
109,2.0903,2.6747,5.7012,2016-Jun-13,PostIRCorrection
110,2.1322,3.0217,5.5176,,Original
110,2.2166,2.9649,6.3476,2016-Jun-07,PreIRCorrection
110,2.2456,3.0025,6.5561,2016-Jun-13,PostIRCorrection
111,1.3279,1.8596,3.0488,,Original
111,1.6696,2.4494,3.9626,2016-Mar-15,PreIRCorrection
111,1.5217,1.9975,4.0309,2016-Jun-14,PostIRCorrection
112,1.4337,2.0641,3.3926,,Original
112,1.4686,2.0795,3.8877,2016-Mar-16,PreIRCorrection
112,1.5369,2.1811,4.1243,2016-Jun-14,PostIRCorrection
113,1.3965,1.9761,3.0637,,Original
113,1.4172,1.7654,3.637,2016-Mar-01,PreIRCorrection
113,1.4666,1.8391,3.7534,2016-Mar-10,PostIRCorrection
114,1.3326,1.7636,2.8234,,Original
114,1.5628,1.9787,4.3123,2016-Mar-15,PreIRCorrection
114,1.592,2.0187,4.3936,2016-Jun-14,PostIRCorrection
